result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LHD cache size   122507, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LHD cache size   367522, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LHD cache size  1225073, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LHD cache size  3675220, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LHD cache size 12250733, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LHD cache size 24501467, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LHD cache size 49002935, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LHD cache size 98005871, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst ARC cache size   122507, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst ARC cache size   367522, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst ARC cache size  1225073, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst ARC cache size  3675220, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst ARC cache size 12250733, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst ARC cache size 24501467, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst ARC cache size 49002935, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst ARC cache size 98005871, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO cache size   122507, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO cache size   367522, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO cache size  1225073, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO cache size  3675220, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO cache size 12250733, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO cache size 24501467, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO cache size 49002935, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO cache size 98005871, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst clock2 cache size   122507, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst clock2 cache size   367522, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
