result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LIRS cache size   122292, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LIRS cache size   366877, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LIRS cache size  1222925, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LIRS cache size  3668777, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LIRS cache size 12229259, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LIRS cache size 24458519, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LIRS cache size 48917039, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LIRS cache size 97834079, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   122292, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   366877, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  1222925, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  3668777, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size 12229259, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size 24458519, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size 48917039, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size 97834079, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LHD cache size   122292, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LHD cache size   366877, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LHD cache size  1222925, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LHD cache size  3668777, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LHD cache size 12229259, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LHD cache size 24458519, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LHD cache size 48917039, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LHD cache size 97834079, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LRU cache size   122292, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LRU cache size   366877, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LRU cache size  1222925, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LRU cache size  3668777, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LRU cache size 12229259, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LRU cache size 24458519, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LRU cache size 48917039, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LRU cache size 97834079, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LeCaR cache size   122292, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LeCaR cache size   366877, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LeCaR cache size  1222925, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LeCaR cache size  3668777, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LeCaR cache size 12229259, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LeCaR cache size 24458519, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LeCaR cache size 48917039, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LeCaR cache size 97834079, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst Cacheus cache size   122292, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst Cacheus cache size   366877, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst Cacheus cache size  1222925, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst Cacheus cache size  3668777, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst Cacheus cache size 12229259, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst Cacheus cache size 24458519, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst Cacheus cache size 48917039, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst Cacheus cache size 97834079, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
