result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst ARC cache size   116873, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst ARC cache size   350619, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst ARC cache size  1168732, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst ARC cache size  3506196, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst ARC cache size 11687322, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst ARC cache size 23374644, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst ARC cache size 46749288, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst ARC cache size 93498576, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LHD cache size   116873, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LHD cache size   350619, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LHD cache size  1168732, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LHD cache size  3506196, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LHD cache size 11687322, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LHD cache size 23374644, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LHD cache size 46749288, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LHD cache size 93498576, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
