result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LRU cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LRU cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LRU cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LRU cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LRU cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LRU cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LRU cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LRU cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LIRS cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LIRS cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LIRS cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LIRS cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LIRS cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LIRS cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LIRS cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LIRS cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst Cacheus cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst Cacheus cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst Cacheus cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst Cacheus cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst Cacheus cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst Cacheus cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst Cacheus cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst Cacheus cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst Clock cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst Clock cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst Clock cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst Clock cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst Clock cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst Clock cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst Clock cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst Clock cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LHD cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LHD cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LHD cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LHD cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LHD cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LHD cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LHD cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LHD cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst ARC cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst ARC cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst ARC cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst ARC cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst ARC cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst ARC cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst ARC cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst ARC cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LeCaR cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LeCaR cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LeCaR cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LeCaR cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LeCaR cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LeCaR cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LeCaR cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LeCaR cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
