prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
