cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size        7, 42192311 req, miss ratio 0.7158, byte miss ratio 0.7158
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size       78, 42192311 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size      234, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size     1560, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size        7, 42192311 req, miss ratio 0.7614, byte miss ratio 0.7614
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size       23, 42192311 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size        7, 42192311 req, miss ratio 0.7813, byte miss ratio 0.7813
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size       23, 42192311 req, miss ratio 0.0022, byte miss ratio 0.0022
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size        7, 42192311 req, miss ratio 0.7126, byte miss ratio 0.7126
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size       23, 42192311 req, miss ratio 0.0025, byte miss ratio 0.0025
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size       78, 42192311 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size     1560, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size        7, 42192311 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size       23, 42192311 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size        7, 42192311 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size       23, 42192311 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size        7, 42192311 req, miss ratio 0.7820, byte miss ratio 0.7820
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size       23, 42192311 req, miss ratio 0.0019, byte miss ratio 0.0019
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size        7, 42192311 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size       23, 42192311 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size        7, 42192311 req, miss ratio 0.7614, byte miss ratio 0.7614
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size       23, 42192311 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size        7, 42192311 req, miss ratio 0.7226, byte miss ratio 0.7226
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size       23, 42192311 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size        7, 42192311 req, miss ratio 0.7571, byte miss ratio 0.7571
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size       23, 42192311 req, miss ratio 0.0024, byte miss ratio 0.0024
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size       78, 42192311 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size        7, 42192311 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size       23, 42192311 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
