result/control_tower_probe_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size       26, 123449194 req, miss ratio 0.9866, byte miss ratio 0.9866
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size       79, 123449194 req, miss ratio 0.8860, byte miss ratio 0.8860
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size      265, 123449194 req, miss ratio 0.6735, byte miss ratio 0.6735
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size      796, 123449194 req, miss ratio 0.4832, byte miss ratio 0.4832
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size     2654, 123449194 req, miss ratio 0.3757, byte miss ratio 0.3757
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size     5309, 123449194 req, miss ratio 0.2094, byte miss ratio 0.2094
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    10618, 123449194 req, miss ratio 0.0254, byte miss ratio 0.0254
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    21236, 123449194 req, miss ratio 0.0004, byte miss ratio 0.0004
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst Clock cache size       26, 123449194 req, miss ratio 0.8127, byte miss ratio 0.8127
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst Clock cache size       79, 123449194 req, miss ratio 0.6163, byte miss ratio 0.6163
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst Clock cache size      265, 123449194 req, miss ratio 0.4903, byte miss ratio 0.4903
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst Clock cache size      796, 123449194 req, miss ratio 0.4776, byte miss ratio 0.4776
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst Clock cache size     2654, 123449194 req, miss ratio 0.4131, byte miss ratio 0.4131
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst Clock cache size     5309, 123449194 req, miss ratio 0.2584, byte miss ratio 0.2584
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst Clock cache size    10618, 123449194 req, miss ratio 0.0280, byte miss ratio 0.0280
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst Clock cache size    21236, 123449194 req, miss ratio 0.0004, byte miss ratio 0.0004
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst Cacheus cache size       26, 123449194 req, miss ratio 0.9000, byte miss ratio 0.9000
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst Cacheus cache size       79, 123449194 req, miss ratio 0.7104, byte miss ratio 0.7104
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst Cacheus cache size      265, 123449194 req, miss ratio 0.4926, byte miss ratio 0.4926
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst Cacheus cache size      796, 123449194 req, miss ratio 0.4879, byte miss ratio 0.4879
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst Cacheus cache size     2654, 123449194 req, miss ratio 0.4442, byte miss ratio 0.4442
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst Cacheus cache size     5309, 123449194 req, miss ratio 0.2469, byte miss ratio 0.2469
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst Cacheus cache size    10618, 123449194 req, miss ratio 0.0294, byte miss ratio 0.0294
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst Cacheus cache size    21236, 123449194 req, miss ratio 0.0004, byte miss ratio 0.0004
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst FIFO cache size       26, 123449194 req, miss ratio 0.7742, byte miss ratio 0.7742
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst FIFO cache size       79, 123449194 req, miss ratio 0.5233, byte miss ratio 0.5233
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst FIFO cache size      265, 123449194 req, miss ratio 0.4911, byte miss ratio 0.4911
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst FIFO cache size      796, 123449194 req, miss ratio 0.4787, byte miss ratio 0.4787
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst FIFO cache size     2654, 123449194 req, miss ratio 0.4160, byte miss ratio 0.4160
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst FIFO cache size     5309, 123449194 req, miss ratio 0.2588, byte miss ratio 0.2588
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst FIFO cache size    10618, 123449194 req, miss ratio 0.0572, byte miss ratio 0.0572
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst FIFO cache size    21236, 123449194 req, miss ratio 0.0013, byte miss ratio 0.0013
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LRU cache size       26, 123449194 req, miss ratio 0.7957, byte miss ratio 0.7957
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LRU cache size       79, 123449194 req, miss ratio 0.5598, byte miss ratio 0.5598
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LRU cache size      265, 123449194 req, miss ratio 0.4891, byte miss ratio 0.4891
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LRU cache size      796, 123449194 req, miss ratio 0.4773, byte miss ratio 0.4773
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LRU cache size     2654, 123449194 req, miss ratio 0.4097, byte miss ratio 0.4097
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LRU cache size     5309, 123449194 req, miss ratio 0.2471, byte miss ratio 0.2471
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LRU cache size    10618, 123449194 req, miss ratio 0.0261, byte miss ratio 0.0261
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LRU cache size    21236, 123449194 req, miss ratio 0.0004, byte miss ratio 0.0004
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LHD cache size       26, 123449194 req, miss ratio 0.7338, byte miss ratio 0.7338
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LHD cache size       79, 123449194 req, miss ratio 0.5033, byte miss ratio 0.5033
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LHD cache size      265, 123449194 req, miss ratio 0.4847, byte miss ratio 0.4847
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LHD cache size      796, 123449194 req, miss ratio 0.4372, byte miss ratio 0.4372
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LHD cache size     2654, 123449194 req, miss ratio 0.3108, byte miss ratio 0.3108
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LHD cache size     5309, 123449194 req, miss ratio 0.1735, byte miss ratio 0.1735
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LHD cache size    10618, 123449194 req, miss ratio 0.0279, byte miss ratio 0.0279
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LHD cache size    21236, 123449194 req, miss ratio 0.0004, byte miss ratio 0.0004
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LeCaR cache size       26, 123449194 req, miss ratio 0.8055, byte miss ratio 0.8055
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LeCaR cache size       79, 123449194 req, miss ratio 0.5709, byte miss ratio 0.5709
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LeCaR cache size      265, 123449194 req, miss ratio 0.4902, byte miss ratio 0.4902
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LeCaR cache size      796, 123449194 req, miss ratio 0.4794, byte miss ratio 0.4794
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LeCaR cache size     2654, 123449194 req, miss ratio 0.4177, byte miss ratio 0.4177
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LeCaR cache size     5309, 123449194 req, miss ratio 0.2535, byte miss ratio 0.2535
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LeCaR cache size    10618, 123449194 req, miss ratio 0.0267, byte miss ratio 0.0267
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LeCaR cache size    21236, 123449194 req, miss ratio 0.0004, byte miss ratio 0.0004
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst clock2 cache size       26, 123449194 req, miss ratio 0.8127, byte miss ratio 0.8127
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst clock2 cache size       79, 123449194 req, miss ratio 0.6163, byte miss ratio 0.6163
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst clock2 cache size      265, 123449194 req, miss ratio 0.4901, byte miss ratio 0.4901
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst clock2 cache size      796, 123449194 req, miss ratio 0.4759, byte miss ratio 0.4759
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst clock2 cache size     2654, 123449194 req, miss ratio 0.3984, byte miss ratio 0.3984
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst clock2 cache size     5309, 123449194 req, miss ratio 0.2272, byte miss ratio 0.2272
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst clock2 cache size    10618, 123449194 req, miss ratio 0.0254, byte miss ratio 0.0254
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst clock2 cache size    21236, 123449194 req, miss ratio 0.0004, byte miss ratio 0.0004
result/control_tower_probe_cache.0.oracleGeneral.sample10.zst LIRS cache size       26, 123449194 req, miss ratio 0.9963, byte miss ratio 0.9963
