result/control_tower_probe_cache.1.oracleGeneral.sample10.zst FIFO cache size       26, 96320262 req, miss ratio 0.7840, byte miss ratio 0.7840
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst FIFO cache size       80, 96320262 req, miss ratio 0.5290, byte miss ratio 0.5290
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst FIFO cache size      268, 96320262 req, miss ratio 0.4930, byte miss ratio 0.4930
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst FIFO cache size      806, 96320262 req, miss ratio 0.4808, byte miss ratio 0.4808
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst FIFO cache size     2686, 96320262 req, miss ratio 0.4217, byte miss ratio 0.4217
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst FIFO cache size     5373, 96320262 req, miss ratio 0.2732, byte miss ratio 0.2732
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst FIFO cache size    10747, 96320262 req, miss ratio 0.0651, byte miss ratio 0.0651
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst FIFO cache size    21495, 96320262 req, miss ratio 0.0016, byte miss ratio 0.0016
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst Clock cache size       26, 96320262 req, miss ratio 0.8196, byte miss ratio 0.8196
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst Clock cache size       80, 96320262 req, miss ratio 0.6248, byte miss ratio 0.6248
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst Clock cache size      268, 96320262 req, miss ratio 0.4923, byte miss ratio 0.4923
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst Clock cache size      806, 96320262 req, miss ratio 0.4797, byte miss ratio 0.4797
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst Clock cache size     2686, 96320262 req, miss ratio 0.4190, byte miss ratio 0.4190
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst Clock cache size     5373, 96320262 req, miss ratio 0.2746, byte miss ratio 0.2746
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst Clock cache size    10747, 96320262 req, miss ratio 0.0339, byte miss ratio 0.0339
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst Clock cache size    21495, 96320262 req, miss ratio 0.0005, byte miss ratio 0.0005
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LRU cache size       26, 96320262 req, miss ratio 0.8039, byte miss ratio 0.8039
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LRU cache size       80, 96320262 req, miss ratio 0.5686, byte miss ratio 0.5686
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LRU cache size      268, 96320262 req, miss ratio 0.4909, byte miss ratio 0.4909
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LRU cache size      806, 96320262 req, miss ratio 0.4794, byte miss ratio 0.4794
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LRU cache size     2686, 96320262 req, miss ratio 0.4161, byte miss ratio 0.4161
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LRU cache size     5373, 96320262 req, miss ratio 0.2642, byte miss ratio 0.2642
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LRU cache size    10747, 96320262 req, miss ratio 0.0315, byte miss ratio 0.0315
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LRU cache size    21495, 96320262 req, miss ratio 0.0005, byte miss ratio 0.0005
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst ARC cache size       26, 96320262 req, miss ratio 0.7301, byte miss ratio 0.7301
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst ARC cache size       80, 96320262 req, miss ratio 0.5069, byte miss ratio 0.5069
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst ARC cache size      268, 96320262 req, miss ratio 0.4949, byte miss ratio 0.4949
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst ARC cache size      806, 96320262 req, miss ratio 0.4886, byte miss ratio 0.4886
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst ARC cache size     2686, 96320262 req, miss ratio 0.4375, byte miss ratio 0.4375
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst ARC cache size     5373, 96320262 req, miss ratio 0.2780, byte miss ratio 0.2780
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst ARC cache size    10747, 96320262 req, miss ratio 0.0316, byte miss ratio 0.0316
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst ARC cache size    21495, 96320262 req, miss ratio 0.0005, byte miss ratio 0.0005
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LHD cache size       26, 96320262 req, miss ratio 0.7535, byte miss ratio 0.7535
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LHD cache size       80, 96320262 req, miss ratio 0.5066, byte miss ratio 0.5066
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LHD cache size      268, 96320262 req, miss ratio 0.4891, byte miss ratio 0.4891
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LHD cache size      806, 96320262 req, miss ratio 0.4441, byte miss ratio 0.4441
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LHD cache size     2686, 96320262 req, miss ratio 0.3236, byte miss ratio 0.3236
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LHD cache size     5373, 96320262 req, miss ratio 0.1867, byte miss ratio 0.1867
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LHD cache size    10747, 96320262 req, miss ratio 0.0337, byte miss ratio 0.0337
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LHD cache size    21495, 96320262 req, miss ratio 0.0006, byte miss ratio 0.0006
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LIRS cache size       26, 96320262 req, miss ratio 0.9967, byte miss ratio 0.9967
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LIRS cache size       80, 96320262 req, miss ratio 0.9885, byte miss ratio 0.9885
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LIRS cache size      268, 96320262 req, miss ratio 0.9629, byte miss ratio 0.9629
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LIRS cache size      806, 96320262 req, miss ratio 0.8834, byte miss ratio 0.8834
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LIRS cache size     2686, 96320262 req, miss ratio 0.6239, byte miss ratio 0.6239
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LIRS cache size     5373, 96320262 req, miss ratio 0.2814, byte miss ratio 0.2814
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LIRS cache size    10747, 96320262 req, miss ratio 0.0315, byte miss ratio 0.0315
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LIRS cache size    21495, 96320262 req, miss ratio 0.0005, byte miss ratio 0.0005
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LeCaR cache size       26, 96320262 req, miss ratio 0.8132, byte miss ratio 0.8132
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LeCaR cache size       80, 96320262 req, miss ratio 0.5797, byte miss ratio 0.5797
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LeCaR cache size      268, 96320262 req, miss ratio 0.4920, byte miss ratio 0.4920
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LeCaR cache size      806, 96320262 req, miss ratio 0.4813, byte miss ratio 0.4813
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LeCaR cache size     2686, 96320262 req, miss ratio 0.4236, byte miss ratio 0.4236
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LeCaR cache size     5373, 96320262 req, miss ratio 0.2711, byte miss ratio 0.2711
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LeCaR cache size    10747, 96320262 req, miss ratio 0.0323, byte miss ratio 0.0323
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst LeCaR cache size    21495, 96320262 req, miss ratio 0.0005, byte miss ratio 0.0005
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst clock2 cache size       26, 96320262 req, miss ratio 0.8196, byte miss ratio 0.8196
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst clock2 cache size       80, 96320262 req, miss ratio 0.6249, byte miss ratio 0.6249
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst clock2 cache size      268, 96320262 req, miss ratio 0.4922, byte miss ratio 0.4922
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst clock2 cache size      806, 96320262 req, miss ratio 0.4781, byte miss ratio 0.4781
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst clock2 cache size     2686, 96320262 req, miss ratio 0.4058, byte miss ratio 0.4058
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst clock2 cache size     5373, 96320262 req, miss ratio 0.2430, byte miss ratio 0.2430
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst clock2 cache size    10747, 96320262 req, miss ratio 0.0307, byte miss ratio 0.0307
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst clock2 cache size    21495, 96320262 req, miss ratio 0.0005, byte miss ratio 0.0005
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst Cacheus cache size       26, 96320262 req, miss ratio 0.9038, byte miss ratio 0.9038
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst Cacheus cache size       80, 96320262 req, miss ratio 0.7950, byte miss ratio 0.7950
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst Cacheus cache size      268, 96320262 req, miss ratio 0.4954, byte miss ratio 0.4954
result/control_tower_probe_cache.1.oracleGeneral.sample10.zst Cacheus cache size      806, 96320262 req, miss ratio 0.4893, byte miss ratio 0.4893
